CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
192,introduction,22547,LUCKNOW JN - DEHRADUN VANDE BHARAT EXPRESS,LUCKNOW JN,DEHRADUN,,09.03.2024
192,introduction,22548,DEHRADUN - LUCKNOW JN VANDE BHARAT EXPRESS,DEHRADUN,LUCKNOW JN,,09.03.2024
190,introduction,22233,NEW JALPAIGURI PATNA VANDE BHARAT EXPRESS,NEW JALPAIGURI,PATNA,,09.03.2024
190,introduction,22234,PATNA - NEW JALPAIGURI VANDE BHARAT EXPRESS,PATNA,NEW JALPAIGURI,,09.03.2024
172,stoppage,16348,Mangaluru Central-Thiruvananthapuram Central Express,,,Varkala Shivagiri,06.03.2024
172,stoppage,16101/02,Chennai Egmore-Kollam Express,,,Tenmalai,06.03.2024
172,stoppage,20923/20924,Tirunelveli-Gandhidham Humsafar Express,,,Alappuzha,06.03.2024
183,stoppage,14321/22,Bareilly-Bhuj Express,,,Bhabhar,12.03.2024
25,stoppage,15613/15614,Guwahati-Murkongselek Lachit Express,,,Balipara,12.01.2024
195,introduction,22470,HAZRAT NIZAMUDDIN KHAJURAHO VANDE BHARAT EXPRESS,HAZRAT NIZAMUDDIN,KHAJURAHO,,09.03.2024
195,introduction,22469,KHAJURAHO - HAZRAT NIZAMUDDIN VANDE BHARAT EXPRESS,KHAJURAHO,HAZRAT NIZAMUDDIN,,09.03.2024
51,introduction,None,RAXAUL-NARKATIAGANJ MEMU PASSENGER SPECIAL,RAXAUL,NARKATIAGANJ,,25.01.2024
51,introduction,None,NARKATIAGANJ-RAXAUL MEMU PASSENGER SPECIAL,NARKATIAGANJ,RAXAUL,,25.01.2024
51,introduction,14617,PURNEA COURT- BANMANKHI-AMRITSAR EXPRESS,PURNEA COURT,AMRITSAR,,25.01.2024
157,stoppage,12941/12942,Bhavnagar-Asansol Express,,,Shri Mahaveerji,01.03.2024
2,stoppage,22511/12,Lokmanya Tilak - Kamakhya Karmabhoomi Express,,,Kharsia,02.01.2024
50,introduction,None,SAHARSA-SUPAUL SPECIAL,SAHARSA,SUPAUL,,25.01.2024
50,introduction,None,SUPAUL-SAHARSA SPECIAL,SUPAUL,SAHARSA,,25.01.2024
27,stoppage,13257/13258,Danapur-Anand Vihar (T) Express,,,Amethi,15.01.2024
27,stoppage,13257/13258,Danapur-Anand Vihar (T) Express,,,Gauriganj,15.01.2024
27,stoppage,19669/19670,Udaipur-Patliputra Express,,,Nihalgarh,15.01.2024
27,stoppage,19313/19314,Indore-Patna Express,,,Nihalgarh,15.01.2024
